Date;Contenu_retour;Source
02/02/2023;"Sans oublier les compositions courtes. Ça circule mais dans quelles conditions ? 
Ce n'est ni plaisant pour les usagers, ni pour les contrôleurs qui doivent gérer le mécontentement. 
@Fdhersin";Twitter @Fdhersin
03/02/2023;"Pour la 4eme journée consécutive le K11 Amiens PNO de 7h22 est supprimé ainsi que le 18h31 PNO Amiens, quand aurons nous un retour à la normale ? 
@TERHDF
 
@HouenRichard
 
@FDhersin
 
@JeromeBodel";Twitter @Fdhersin
06/02/2023;"No comment! Et merci pour cette merveilleuse semaine qui semble commencer ! C'est insupportable ! Une fois de plus ! 
@UsagersTERHdF
 
@TERHDFusagers";Twitter @TERHDFusagers
06/02/2023;"et de 30 min pour le C14 de PNO qu’on découvre 10 min avant de partir … pas d’arrêt supplémentaire pour le 19h34 … BREF ON SE DEMERDE ET ON EN CHIE POUR SE METTRE DANS L’AMBIANCE DE DEMAIN. 
@JeromeBodel
 on vous attend en gare 
@JPFarandou
 
@FDhersin
 
@xavierbertrand";Twitter @Fdhersin
06/02/2023;"On focalise l'attention sur le manque de contrôleurs mais il y a aussi un manque de matériel ou de mécanos ? Sinon c'est volontaire de faire rouler des petites compo.
Remarque avec 1 taux d'occupation de 125%, c'est très bon pour les stats...
@FDhersin
 
@JeromeBodel";Twitter @Fdhersin
06/02/2023;Vous mettez en place des remboursements TER c'est bien... A condition de pas avoir un site HS;Twitter @Fdhersin
07/02/2023;"pourquoi aussi peu de trains demain dans les hauts de France ??? On se lève à 5h du mat pour aller bosser mardi et rebelotte mercedi … il est où le service minimum, le respect des usagers ??? 
@JeromeBodel
 
@JPFarandou
 
@SNCFVoyageurs
  
@xavierbertrand
 
@FDhersin";Twitter @Fdhersin
08/02/2023;"La preuve qu’on peut faire dire n’importe quoi aux statistiques: 100% de circulation #TERHDF un jour de grève où des dizaines de trains sont supprimés… Ceux qui restent circulent, mais le dénominateur devrait être le nb de trains contractuellement prévus avec @hautsdefrance
 !!!";Twitter #TERHDF
08/02/2023;". @TERHDF
  #terhdf Bonjour, je voulais savoir y a des trains  qui passent cet après-midi lille douai ou pas du tout ? Et Lille Cantin ?merci bien";Twitter #TERHDF
08/02/2023;"Allez...Et si déjà on pouvait utiliser le million de cartes #passpass présentes en région 
@hautsdefrance
 sur le réseau francilien? ce serait un bon début non?? cc 
@Fdhersin";Twitter @Fdhersin
