insee_code;city_code;zip_code;label;latitude;longitude;department_name;department_number;region_name;region_geojson_name
62302;ergny;62650;ergny;50.588902295;1.974475016;pas-de-calais;62;hauts-de-france;Hauts-de-France
62295;enquin lez guinegatte;62145;enquin lez guinegatte;50.596616113;2.281933126;pas-de-calais;62;hauts-de-france;Hauts-de-France
59366;lynde;59173;lynde;50.718693529;2.434647763;nord;59;hauts-de-france;Hauts-de-France
62310;essars;62400;essars;50.54868382;2.662403455;pas-de-calais;62;hauts-de-france;Hauts-de-France
62301;equirre;62134;equirre;50.479469835;2.234468125;pas-de-calais;62;hauts-de-france;Hauts-de-France
59367;lys lez lannoy;59390;lys lez lannoy;50.672379465;3.217063026;nord;59;hauts-de-france;Hauts-de-France
62322;famechon;62760;famechon;50.143364417;2.458676942;pas-de-calais;62;hauts-de-france;Hauts-de-France
62307;escalles;62179;escalles;50.911651769;1.720538275;pas-de-calais;62;hauts-de-france;Hauts-de-France
59369;maing;59233;maing;50.303727817;3.48848217;nord;59;hauts-de-france;Hauts-de-France
62323;fampoux;62118;fampoux;50.299727892;2.871449604;pas-de-calais;62;hauts-de-france;Hauts-de-France
62313;estree blanche;62145;estree blanche;50.593031668;2.321427407;pas-de-calais;62;hauts-de-france;Hauts-de-France
59375;marchiennes;59870;marchiennes;50.41433787;3.262989075;nord;59;hauts-de-france;Hauts-de-France
62327;febvin palfart;62960;febvin palfart;50.533543411;2.302659037;pas-de-calais;62;hauts-de-france;Hauts-de-France
62315;estreelles;62170;estreelles;50.50140394;1.7790914880000002;pas-de-calais;62;hauts-de-france;Hauts-de-France
59378;marcq en baroeul;59700;marcq en baroeul;50.675587872;3.10112966;nord;59;hauts-de-france;Hauts-de-France
62329;ferques;62250;ferques;50.828819812;1.76843513;pas-de-calais;62;hauts-de-france;Hauts-de-France
62320;etrun;62161;etrun;50.316936578;2.683802547;pas-de-calais;62;hauts-de-france;Hauts-de-France
59379;marcq en ostrevent;59252;marcq en ostrevent;50.287941631;3.23491565;nord;59;hauts-de-france;Hauts-de-France
62330;festubert;62149;festubert;50.54458027;2.736100502;pas-de-calais;62;hauts-de-france;Hauts-de-France
62328;ferfay;62260;ferfay;50.521480516;2.431001889;pas-de-calais;62;hauts-de-france;Hauts-de-France
59384;maroilles;59550;maroilles;50.132272988;3.75805967;nord;59;hauts-de-france;Hauts-de-France
62340;floringhem;62550;floringhem;50.497059668;2.429061722;pas-de-calais;62;hauts-de-france;Hauts-de-France
62331;feuchy;62223;feuchy;50.284575538;2.848675653;pas-de-calais;62;hauts-de-france;Hauts-de-France
59388;marquillies;59274;marquillies;50.55060117;2.868991736;nord;59;hauts-de-france;Hauts-de-France
62346;fortel en artois;62270;fortel en artois;50.25756916;2.229811926;pas-de-calais;62;hauts-de-france;Hauts-de-France
62332;ficheux;62173;ficheux;50.225724083;2.746050176;pas-de-calais;62;hauts-de-france;Hauts-de-France
59389;masnieres;59241;masnieres;50.104815252;3.202002967;nord;59;hauts-de-france;Hauts-de-France
62352;framecourt;62130;framecourt;50.323640162;2.30492252;pas-de-calais;62;hauts-de-france;Hauts-de-France
62333;fiefs;62134;fiefs;50.500144694;2.321108373;pas-de-calais;62;hauts-de-france;Hauts-de-France
59392;maubeuge;59600;maubeuge;50.284258616;3.963220927;nord;59;hauts-de-france;Hauts-de-France
62381;gouy en ternois;62127;gouy en ternois;50.322770091;2.411188021;pas-de-calais;62;hauts-de-france;Hauts-de-France
62338;fleurbaix;62840;fleurbaix;50.63877576;2.830482525;pas-de-calais;62;hauts-de-france;Hauts-de-France
59395;mazinghien;59360;mazinghien;50.050054745;3.5965185660000003;nord;59;hauts-de-france;Hauts-de-France
62384;graincourt les havrincourt;62147;graincourt les havrincourt;50.142465322;3.097254315;pas-de-calais;62;hauts-de-france;Hauts-de-France
62339;fleury;62134;fleury;50.423734586;2.252939319;pas-de-calais;62;hauts-de-france;Hauts-de-France
59407;monchaux sur ecaillon;59224;monchaux sur ecaillon;50.283760777;3.458155463;nord;59;hauts-de-france;Hauts-de-France
62391;guarbecque;62330;guarbecque;50.607278455;2.490193025;pas-de-calais;62;hauts-de-france;Hauts-de-France
62347;fosseux;62810;fosseux;50.254557893;2.565189461;pas-de-calais;62;hauts-de-france;Hauts-de-France
59408;moncheaux;59283;moncheaux;50.457038499;3.088183342;nord;59;hauts-de-france;Hauts-de-France
62402;halinghen;62830;halinghen;50.604328925;1.682593458;pas-de-calais;62;hauts-de-france;Hauts-de-France
62351;fouquieres les lens;62740;fouquieres les lens;50.429323786;2.905065533;pas-de-calais;62;hauts-de-france;Hauts-de-France
59416;morbecque;59190;morbecque;50.67673372;2.536068879;nord;59;hauts-de-france;Hauts-de-France
62406;hamelincourt;62121;hamelincourt;50.183469431;2.802527648;pas-de-calais;62;hauts-de-france;Hauts-de-France
62360;frethun;62185;frethun;50.911652008;1.815857136;pas-de-calais;62;hauts-de-france;Hauts-de-France
59419;mouchin;59310;mouchin;50.516630325;3.286269685;nord;59;hauts-de-france;Hauts-de-France
62409;hannescamps;62111;hannescamps;50.161613685;2.642689096;pas-de-calais;62;hauts-de-france;Hauts-de-France
62363;frevin capelle;62690;frevin capelle;50.351315939;2.636455896;pas-de-calais;62;hauts-de-france;Hauts-de-France
59425;neuville en avesnois;59218;neuville en avesnois;50.199543675;3.578697715;nord;59;hauts-de-france;Hauts-de-France
62415;haute avesnes;62144;haute avesnes;50.329498689;2.6348737;pas-de-calais;62;hauts-de-france;Hauts-de-France
62374;gomiecourt;62121;gomiecourt;50.149133166;2.799358871;pas-de-calais;62;hauts-de-france;Hauts-de-France
59428;neuville st remy;59554;neuville st remy;50.187271985;3.218404938;nord;59;hauts-de-france;Hauts-de-France
62416;hautecloque;62130;hautecloque;50.334087729;2.316348469;pas-de-calais;62;hauts-de-france;Hauts-de-France
62380;gouy servins;62530;gouy servins;50.402511623;2.65469741;pas-de-calais;62;hauts-de-france;Hauts-de-France
59433;nieurlet;59143;nieurlet;50.794892194;2.280497886;nord;59;hauts-de-france;Hauts-de-France
62418;hauteville;62810;hauteville;50.27188796;2.568900361;pas-de-calais;62;hauts-de-france;Hauts-de-France
62398;guisy;62140;guisy;50.387925382;2.003354415;pas-de-calais;62;hauts-de-france;Hauts-de-France
59435;nomain;59310;nomain;50.501581448;3.238609693;nord;59;hauts-de-france;Hauts-de-France
